SIC,Industry,Sector,Division
1531,Operative Builders,Building Construction General Contractors And Operative Builders,Construction
1541,General Contractors-Industrial Buildings and Warehouses,Building Construction General Contractors And Operative Builders,Construction
1542,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses",Building Construction General Contractors And Operative Builders,Construction
1611,"Highway and Street Construction, Except Elevated Highways",Heavy Construction Other Than Building Construction Contractors,Construction
1622,"Bridge, Tunnel, and Elevated Highway Construction",Heavy Construction Other Than Building Construction Contractors,Construction
1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction",Heavy Construction Other Than Building Construction Contractors,Construction
1629,"Heavy Construction, Not Elsewhere Classified",Heavy Construction Other Than Building Construction Contractors,Construction
1711,"Plumbing, Heating and Air-Conditioning",Construction Special Trade Contractors,Construction
1721,Painting and Paper Hanging,Construction Special Trade Contractors,Construction
1731,Electrical Work,Construction Special Trade Contractors,Construction
1741,"Masonry, Stone Setting, and Other Stone Work",Construction Special Trade Contractors,Construction
1742,"Plastering, Drywall, Acoustical, and Insulation Work",Construction Special Trade Contractors,Construction
1743,"Terrazzo, Tile, Marble, and Mosaic Work",Construction Special Trade Contractors,Construction
1751,Carpentry Work,Construction Special Trade Contractors,Construction
1752,"Floor Laying and Other Floor Work, Not Elsewhere Classified",Construction Special Trade Contractors,Construction
1761,"Roofing, Siding, and Sheet Metal Work",Construction Special Trade Contractors,Construction
1771,Concrete Work,Construction Special Trade Contractors,Construction
1781,Water Well Drilling,Construction Special Trade Contractors,Construction
1791,Structural Steel Erection,Construction Special Trade Contractors,Construction
1793,Glass and Glazing Work,Construction Special Trade Contractors,Construction
1794,Excavation Work,Construction Special Trade Contractors,Construction
1795,Wrecking and Demolition Work,Construction Special Trade Contractors,Construction
1796,"Installation or Erection of Building Equipment, Not Elsewhere",Construction Special Trade Contractors,Construction
1799,"Special Trade Contractors, Not Elsewhere Classified",Construction Special Trade Contractors,Construction
2011,Meat Packing Plants,Food And Kindred Products,Manufacturing
2013,Sausages and Other Prepared Meat Products,Food And Kindred Products,Manufacturing
2015,Poultry Slaughtering and Processing,Food And Kindred Products,Manufacturing
2021,Creamery Butter,Food And Kindred Products,Manufacturing
2022,"Natural, Processed, and Imitation Cheese",Food And Kindred Products,Manufacturing
2023,"Dry, Condensed, and Evaporated Dairy Products",Food And Kindred Products,Manufacturing
2024,Ice Cream and Frozen Desserts,Food And Kindred Products,Manufacturing
2026,Fluid Milk,Food And Kindred Products,Manufacturing
2032,Canned Specialties,Food And Kindred Products,Manufacturing
2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",Food And Kindred Products,Manufacturing
2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes",Food And Kindred Products,Manufacturing
2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings",Food And Kindred Products,Manufacturing
2037,"Frozen Fruits, Fruit Juices, and Vegetables",Food And Kindred Products,Manufacturing
2038,"Frozen Specialties, Not Elsewhere Classified",Food And Kindred Products,Manufacturing
2041,Flour and Other Grain Mill Products,Food And Kindred Products,Manufacturing
2043,Cereal Breakfast Foods,Food And Kindred Products,Manufacturing
2044,Rice Milling,Food And Kindred Products,Manufacturing
2045,Prepared Flour Mixes and Doughs,Food And Kindred Products,Manufacturing
2046,Wet Corn Milling,Food And Kindred Products,Manufacturing
2047,Dog and Cat Food,Food And Kindred Products,Manufacturing
2048,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats",Food And Kindred Products,Manufacturing
2051,"Bread and Other Bakery Products, Except Cookies and Crackers",Food And Kindred Products,Manufacturing
2052,Cookies and Crackers,Food And Kindred Products,Manufacturing
2053,"Frozen Bakery Products, Except Bread",Food And Kindred Products,Manufacturing
2061,"Cane Sugar, Except Refining",Food And Kindred Products,Manufacturing
2062,Cane Sugar Refining,Food And Kindred Products,Manufacturing
2063,Beet Sugar,Food And Kindred Products,Manufacturing
2064,Candy and Other Confectionery Products,Food And Kindred Products,Manufacturing
2066,Chocolate and Cocoa Products,Food And Kindred Products,Manufacturing
2067,Chewing Gum,Food And Kindred Products,Manufacturing
2068,Salted and Roasted Nuts and Seeds,Food And Kindred Products,Manufacturing
2074,Cottonseed Oil Mills,Food And Kindred Products,Manufacturing
2075,Soybean Oil Mills,Food And Kindred Products,Manufacturing
2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean",Food And Kindred Products,Manufacturing
2077,Animal and Marine Fats and Oils,Food And Kindred Products,Manufacturing
2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified",Food And Kindred Products,Manufacturing
2082,Malt Beverages,Food And Kindred Products,Manufacturing
2083,Malt,Food And Kindred Products,Manufacturing
2084,"Wines, Brandy, and Brandy Spirits",Food And Kindred Products,Manufacturing
2085,Distilled and Blended Liquors,Food And Kindred Products,Manufacturing
2086,Bottled and Canned Soft Drinks and Carbonated Waters,Food And Kindred Products,Manufacturing
2087,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified",Food And Kindred Products,Manufacturing
2091,Canned and Cured Fish and Seafoods,Food And Kindred Products,Manufacturing
2092,Prepared Fresh or Frozen Fish and Seafoods,Food And Kindred Products,Manufacturing
2095,Roasted Coffee,Food And Kindred Products,Manufacturing
2096,"Potato Chips, Corn Chips, and Similar Snacks",Food And Kindred Products,Manufacturing
2097,Manufactured Ice,Food And Kindred Products,Manufacturing
2098,"Macaroni, Spaghetti, Vermicelli, and Noodles",Food And Kindred Products,Manufacturing
2099,"Food Preparations, Not Elsewhere Classified",Food And Kindred Products,Manufacturing
2111,Cigarettes,Tobacco Products,Manufacturing
2121,Cigars,Tobacco Products,Manufacturing
2131,Chewing and Smoking Tobacco and Snuff,Tobacco Products,Manufacturing
2141,Tobacco Stemming and Redrying,Tobacco Products,Manufacturing
2211,"Broadwoven Fabric Mills, Cotton",Textile Mill Products,Manufacturing
2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk",Textile Mill Products,Manufacturing
2231,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing)",Textile Mill Products,Manufacturing
2241,"Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk, and Manmade Fiber",Textile Mill Products,Manufacturing
2251,"Women's Full-Length and Knee-Length Hosiery, Except Socks",Textile Mill Products,Manufacturing
2252,"Hosiery, Not Elsewhere Classified",Textile Mill Products,Manufacturing
2253,Knit Outerwear Mills,Textile Mill Products,Manufacturing
2254,Knit Underwear and Nightwear Mills,Textile Mill Products,Manufacturing
2257,Weft Knit Fabric Mills,Textile Mill Products,Manufacturing
2258,Lace and Warp Knit Fabric Mills,Textile Mill Products,Manufacturing
2259,"Knitting Mills, Not Elsewhere Classified",Textile Mill Products,Manufacturing
2261,Finishers of Broadwoven Fabrics of Cotton,Textile Mill Products,Manufacturing
2262,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk,Textile Mill Products,Manufacturing
2269,"Finishers of Textiles, Not elsewhere Classified",Textile Mill Products,Manufacturing
2273,Carpets and Rugs,Textile Mill Products,Manufacturing
2281,Yarn Spinning Mills,Textile Mill Products,Manufacturing
2282,"Yarn Texturizing, Throwing, Twisting, and Winding Mills",Textile Mill Products,Manufacturing
2284,Thread Mills,Textile Mill Products,Manufacturing
2295,"Coated Fabrics, Not Rubberized",Textile Mill Products,Manufacturing
2296,Tire Cord and Fabrics,Textile Mill Products,Manufacturing
2297,Non-woven Fabrics,Textile Mill Products,Manufacturing
2298,Cordage and Twine,Textile Mill Products,Manufacturing
2299,"Textile goods, Not Elsewhere Classified",Textile Mill Products,Manufacturing
2311,"Men's and Boys' Suits, Coats, and Overcoats",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2321,"Men's and Boys' Shirts, Except Work Shirts",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2322,Men's and Boys' Underwear and Nightwear,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2323,Men's and Boys' Neckwear,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2325,Men's and Boys' Separate Trousers and Slacks,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2326,Men's and Boys' Work Clothing,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2329,"Men's and Boys' Clothing, Not Elsewhere Classified",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2331,"Women's, Misses', and Juniors' Blouses and Shirts",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2335,"Women's, Misses', and Juniors' Dresses",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2337,"Women's, Misses', and Juniors' Suits, Skirts, and Coats",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2339,"Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2341,"Women's, Misses', Children's, and Infants' Underwear and Nightwear",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2342,"Brassieres, Girdles, and Allied Garments",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2353,"Hats, Caps, and Millinery",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2361,"Girls', Children's, and Infants' Dresses, Blouses, and Shirts",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2369,"Girls', Children's, and Infants' Outerwear, Not Elsewhere Classified",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2371,Fur Goods,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2381,"Dress and Work Gloves, Except Knit and All-Leather",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2384,Robes and Dressing Gowns,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2385,Waterproof Outerwear,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2386,Leather and Sheep-Lined Clothing,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2387,Apparel belts,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2389,"Apparel and Accessories, Not Elsewhere Classified",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2391,Curtains and Draperies,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2392,"House furnishing, Except Curtains and Draperies",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2393,Textile Bags,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2394,Canvas and Related Products,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2395,"Pleating, Decorative and Novelty Stitching, and Tucking for the Trade",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2396,"Automotive Trimmings, Apparel Findings, and Related Products",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2397,Schiffli Machine Embroideries,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2399,"Fabricated Textile Products, Not Elsewhere Classified",Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing
2411,Logging,"Lumber And Wood Products, Except Furniture",Manufacturing
2421,"Sawmills and Planing Mills, General","Lumber And Wood Products, Except Furniture",Manufacturing
2426,Hardwood Dimension and Flooring Mills,"Lumber And Wood Products, Except Furniture",Manufacturing
2429,"Special Product Sawmills, Not Elsewhere Classified","Lumber And Wood Products, Except Furniture",Manufacturing
2431,Millwork,"Lumber And Wood Products, Except Furniture",Manufacturing
2434,Wood Kitchen Cabinets,"Lumber And Wood Products, Except Furniture",Manufacturing
2435,Hardwood Veneer and Plywood,"Lumber And Wood Products, Except Furniture",Manufacturing
2436,Softwood Veneer and Plywood,"Lumber And Wood Products, Except Furniture",Manufacturing
2439,"Structural Wood Members, Not Elsewhere Classified","Lumber And Wood Products, Except Furniture",Manufacturing
2441,Nailed and Lock Corner Wood Boxes and Shook,"Lumber And Wood Products, Except Furniture",Manufacturing
2448,Wood Pallets and Skids,"Lumber And Wood Products, Except Furniture",Manufacturing
2449,"Wood Containers, Not Elsewhere Classified","Lumber And Wood Products, Except Furniture",Manufacturing
2451,Mobile Homes,"Lumber And Wood Products, Except Furniture",Manufacturing
2452,Prefabricated Wood Buildings and Components,"Lumber And Wood Products, Except Furniture",Manufacturing
2491,Wood Preserving,"Lumber And Wood Products, Except Furniture",Manufacturing
2493,Reconstituted Wood Products,"Lumber And Wood Products, Except Furniture",Manufacturing
2499,"Wood Products, Not Elsewhere Classified","Lumber And Wood Products, Except Furniture",Manufacturing
2511,"Wood Household Furniture, Except Upholstered",Furniture And Fixtures,Manufacturing
2512,"Wood Household Furniture, Upholstered",Furniture And Fixtures,Manufacturing
2514,Metal Household Furniture,Furniture And Fixtures,Manufacturing
2515,"Mattresses, Foundations, and Convertible Beds",Furniture And Fixtures,Manufacturing
2517,"Wood Television, Radio, Phonograph, and Sewing Machine Cabinets",Furniture And Fixtures,Manufacturing
2519,"Household Furniture, Not Elsewhere Classified",Furniture And Fixtures,Manufacturing
2521,Wood Office Furniture,Furniture And Fixtures,Manufacturing
2522,"Office Furniture, Except Wood",Furniture And Fixtures,Manufacturing
2531,Public Building and Related Furniture,Furniture And Fixtures,Manufacturing
2541,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers",Furniture And Fixtures,Manufacturing
2542,"Office and Store Fixtures, Partitions, Shelving, and Lockers, Except Wood",Furniture And Fixtures,Manufacturing
2591,Drapery Hardware and Window Blinds and Shades,Furniture And Fixtures,Manufacturing
2599,"Furniture and Fixtures, Not Elsewhere Classified",Furniture And Fixtures,Manufacturing
2611,Pulp Mills,Paper And Allied Products,Manufacturing
2621,Paper Mills,Paper And Allied Products,Manufacturing
2631,Paperboard Mills,Paper And Allied Products,Manufacturing
2652,Setup Paperboard Boxes,Paper And Allied Products,Manufacturing
2653,Corrugated and Solid Fiber Boxes,Paper And Allied Products,Manufacturing
2655,"Fiber Cans, Tubes, Drums, and Similar Products",Paper And Allied Products,Manufacturing
2656,"Sanitary Food Containers, Except Folding",Paper And Allied Products,Manufacturing
2657,"Folding Paperboard Boxes, Including Sanitary",Paper And Allied Products,Manufacturing
2671,"Packaging Paper and Plastics Film, Coated and Laminated",Paper And Allied Products,Manufacturing
2672,"Coated and Laminated Paper, Not Elsewhere Classified",Paper And Allied Products,Manufacturing
2673,"Plastics, Foil, and Coated Paper Bags",Paper And Allied Products,Manufacturing
2674,Uncoated Paper and Multiwall Bags,Paper And Allied Products,Manufacturing
2675,Die-Cut Paper and Paperboard and Cardboard,Paper And Allied Products,Manufacturing
2676,Sanitary Paper Products,Paper And Allied Products,Manufacturing
2677,Envelopes,Paper And Allied Products,Manufacturing
2678,"Stationery, Tablets, and Related Products",Paper And Allied Products,Manufacturing
2679,"Converted Paper and Paperboard Products, Not Elsewhere Classified",Paper And Allied Products,Manufacturing
2711,"Newspapers: Publishing, or Publishing and Printing","Printing, Publishing, And Allied Industries",Manufacturing
2721,"Periodicals: Publishing, or Publishing and Printing","Printing, Publishing, And Allied Industries",Manufacturing
2731,"Books: Publishing, or Publishing and Printing","Printing, Publishing, And Allied Industries",Manufacturing
2732,Book Printing,"Printing, Publishing, And Allied Industries",Manufacturing
2741,Miscellaneous Publishing,"Printing, Publishing, And Allied Industries",Manufacturing
2752,"Commercial Printing, Lithographic","Printing, Publishing, And Allied Industries",Manufacturing
2754,"Commercial Printing, Gravure","Printing, Publishing, And Allied Industries",Manufacturing
2759,"Commercial Printing, Not Elsewhere Classified","Printing, Publishing, And Allied Industries",Manufacturing
2761,Manifold Business Forms,"Printing, Publishing, And Allied Industries",Manufacturing
2771,Greeting Cards,"Printing, Publishing, And Allied Industries",Manufacturing
2782,"Blankbooks, Looseleaf Binders and Devices","Printing, Publishing, And Allied Industries",Manufacturing
2789,Bookbinding and Related Work,"Printing, Publishing, And Allied Industries",Manufacturing
2791,Typesetting,"Printing, Publishing, And Allied Industries",Manufacturing
2796,Platemaking and Related Services,"Printing, Publishing, And Allied Industries",Manufacturing
2812,Alkalies and Chlorine,Chemicals And Allied Products,Manufacturing
2813,Industrial Gases,Chemicals And Allied Products,Manufacturing
2816,Inorganic Pigments,Chemicals And Allied Products,Manufacturing
2819,"Industrial Inorganic Chemicals, Not Elsewhere Classified",Chemicals And Allied Products,Manufacturing
2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elastomers",Chemicals And Allied Products,Manufacturing
2822,Synthetic Rubber (Vulcanizable Elastomers),Chemicals And Allied Products,Manufacturing
2823,Cellulosic Manmade Fibers,Chemicals And Allied Products,Manufacturing
2824,"Manmade Organic Fibers, Except Cellulosic",Chemicals And Allied Products,Manufacturing
2833,Medicinal Chemicals and Botanical Products,Chemicals And Allied Products,Manufacturing
2834,Pharmaceutical Preparations,Chemicals And Allied Products,Manufacturing
2835,In Vitro and In Vivo Diagnostic Substances,Chemicals And Allied Products,Manufacturing
2836,"Biological Products, Except Diagnostic Substances",Chemicals And Allied Products,Manufacturing
2841,"Soap and Other Detergents, Except Specialty Cleaners",Chemicals And Allied Products,Manufacturing
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",Chemicals And Allied Products,Manufacturing
2843,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants",Chemicals And Allied Products,Manufacturing
2844,"Perfumes, Cosmetics, and Other Toilet Preparations",Chemicals And Allied Products,Manufacturing
2851,"Paints, Varnishes, Lacquers, Enamels, and Allied Products",Chemicals And Allied Products,Manufacturing
2861,Gum and Wood Chemicals,Chemicals And Allied Products,Manufacturing
2865,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments",Chemicals And Allied Products,Manufacturing
2869,"Industrial Organic Chemicals, Not Elsewhere Classified",Chemicals And Allied Products,Manufacturing
2873,Nitrogenous Fertilizers,Chemicals And Allied Products,Manufacturing
2874,Phosphatic Fertilizers,Chemicals And Allied Products,Manufacturing
2875,"Fertilizers, Mixing Only",Chemicals And Allied Products,Manufacturing
2879,"Pesticides and Agricultural Chemicals, Not Elsewhere Classified",Chemicals And Allied Products,Manufacturing
2891,Adhesives and Sealants,Chemicals And Allied Products,Manufacturing
2892,Explosives,Chemicals And Allied Products,Manufacturing
2893,Printing Ink,Chemicals And Allied Products,Manufacturing
2895,Carbon Black,Chemicals And Allied Products,Manufacturing
2899,"Chemicals and Chemical Preparations, Not Elsewhere Classified",Chemicals And Allied Products,Manufacturing
2911,Petroleum Refining,Petroleum Refining And Related Industries,Manufacturing
2951,Asphalt Paving Mixtures and Blocks,Petroleum Refining And Related Industries,Manufacturing
2952,Asphalt Felts and Coatings,Petroleum Refining And Related Industries,Manufacturing
2992,Lubricating Oils and Greases,Petroleum Refining And Related Industries,Manufacturing
2999,"Products of Petroleum and Coal, Not Elsewhere Classified",Petroleum Refining And Related Industries,Manufacturing
3011,Tires and Inner Tubes,Rubber And Miscellaneous Plastics Products,Manufacturing
3021,Rubber and Plastics Footwear,Rubber And Miscellaneous Plastics Products,Manufacturing
3052,Rubber and Plastics Hose and Belting,Rubber And Miscellaneous Plastics Products,Manufacturing
3053,"Gaskets, Packing, and Sealing Devices",Rubber And Miscellaneous Plastics Products,Manufacturing
3061,"Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods",Rubber And Miscellaneous Plastics Products,Manufacturing
3069,"Fabricated Rubber Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Manufacturing
3081,Unsupported Plastics Film and Sheet,Rubber And Miscellaneous Plastics Products,Manufacturing
3082,Unsupported Plastics Profile Shapes,Rubber And Miscellaneous Plastics Products,Manufacturing
3083,"Laminated Plastics Plate, Sheet, and Profile Shapes",Rubber And Miscellaneous Plastics Products,Manufacturing
